time(s),ADRC y best
7.78,1.00018
7.785,1.00018
7.79,1.00018
7.795,1.00018
7.8,1.00018
7.805,1.00018
7.81,1.00018
7.815,1.00018
7.82,1.00017
7.825,1.00017
7.83,1.00017
7.835,1.00017
7.84,1.00017
7.845,1.00017
7.85,1.00017
7.855,1.00017
7.86,1.00016
7.865,1.00016
7.87,1.00016
7.875,1.00016
7.88,1.00016
7.885,1.00016
7.89,1.00016
7.895,1.00016
7.9,1.00015
7.905,1.00015
7.91,1.00015
7.915,1.00015
7.92,1.00015
7.925,1.00015
7.93,1.00015
7.935,1.00014
7.94,1.00014
7.945,1.00014
7.95,1.00014
7.955,1.00014
7.96,1.00014
7.965,1.00014
7.97,1.00014
7.975,1.00013
7.98,1.00013
7.985,1.00013
7.99,1.00013
7.995,1.00013
8,1.00013
8.005,1.00013
8.01,1.00013
8.015,1.00012
8.02,1.00012
8.025,1.00012
8.03,1.00012
8.035,1.00012
8.04,1.00012
8.045,1.00012
8.05,1.00012
8.055,1.00011
8.06,1.00011
8.065,1.00011
8.07,1.00011
8.075,1.00011
8.08,1.00011
8.085,1.00011
8.09,1.00011
8.095,1.00011
8.1,1.0001
8.105,1.0001
8.11,1.0001
8.115,1.0001
8.12,1.0001
8.125,1.0001
8.13,1.0001
8.135,1.0001
8.14,1.00009
8.145,1.00009
8.15,1.00009
8.155,1.00009
8.16,1.00009
8.165,1.00009
8.17,1.00009
8.175,1.00009
8.18,1.00009
8.185,1.00008
8.19,1.00008
8.195,1.00008
8.2,1.00008
8.205,1.00008
8.21,1.00008
8.215,1.00008
8.22,1.00008
8.225,1.00008
8.23,1.00007
8.235,1.00007
8.24,1.00007
8.245,1.00007
8.25,1.00007
8.255,1.00007
8.26,1.00007
8.265,1.00007
8.27,1.00007
8.275,1.00006
8.28,1.00006
8.285,1.00006
8.29,1.00006
8.295,1.00006
8.3,1.00006
8.305,1.00006
8.31,1.00006
8.315,1.00006
8.32,1.00006
8.325,1.00005
8.33,1.00005
8.335,1.00005
8.34,1.00005
8.345,1.00005
8.35,1.00005
8.355,1.00005
8.36,1.00005
8.365,1.00005
8.37,1.00005
8.375,1.00005
8.38,1.00004
8.385,1.00004
8.39,1.00004
8.395,1.00004
8.4,1.00004
8.405,1.00004
8.41,1.00004
8.415,1.00004
8.42,1.00004
8.425,1.00004
8.43,1.00004
8.435,1.00004
8.44,1.00003
8.445,1.00003
8.45,1.00003
8.455,1.00003
8.46,1.00003
8.465,1.00003
8.47,1.00003
8.475,1.00003
8.48,1.00003
8.485,1.00003
8.49,1.00003
8.495,1.00003
8.5,1.00002
8.505,1.00002
8.51,1.00002
8.515,1.00002
8.52,1.00002
8.525,1.00002
8.53,1.00002
8.535,1.00002
8.54,1.00002
8.545,1.00002
8.55,1.00002
8.555,1.00002
8.56,1.00002
8.565,1.00002
8.57,1.00001
8.575,1.00001
8.58,1.00001
8.585,1.00001
8.59,1.00001
8.595,1.00001
8.6,1.00001
8.605,1.00001
8.61,1.00001
8.615,1.00001
8.62,1.00001
8.625,1.00001
8.63,1.00001
8.635,1.00001
8.64,1.00001
8.645,1.00001
8.65,1.00001
8.655,1
8.66,1
8.665,1
8.67,1
8.675,1
8.68,1
8.685,1
8.69,1
8.695,1
8.7,1
8.705,0.999999
8.71,0.999999
8.715,0.999998
8.72,0.999998
8.725,0.999998
8.73,0.999997
8.735,0.999997
8.74,0.999996
8.745,0.999996
8.75,0.999995
8.755,0.999995
8.76,0.999994
8.765,0.999994
8.77,0.999994
8.775,0.999993
8.78,0.999993
8.785,0.999992
8.79,0.999992
8.795,0.999991
8.8,0.999991
8.805,0.999991
8.81,0.99999
8.815,0.99999
8.82,0.99999
8.825,0.999989
8.83,0.999989
8.835,0.999989
8.84,0.999988
8.845,0.999988
8.85,0.999987
8.855,0.999987
8.86,0.999987
8.865,0.999986
8.87,0.999986
8.875,0.999986
8.88,0.999986
8.885,0.999985
8.89,0.999985
8.895,0.999985
8.9,0.999984
8.905,0.999984
8.91,0.999984
8.915,0.999984
8.92,0.999983
8.925,0.999983
8.93,0.999983
8.935,0.999982
8.94,0.999982
8.945,0.999982
8.95,0.999982
8.955,0.999982
8.96,0.999981
8.965,0.999981
8.97,0.999981
8.975,0.999981
8.98,0.99998
8.985,0.99998
8.99,0.99998
8.995,0.99998
9,0.99998
9.005,0.999979
9.01,0.999979
9.015,0.999979
9.02,0.999979
9.025,0.999979
9.03,0.999979
9.035,0.999978
9.04,0.999978
9.045,0.999978
9.05,0.999978
9.055,0.999978
9.06,0.999978
9.065,0.999977
9.07,0.999977
9.075,0.999977
9.08,0.999977
9.085,0.999977
9.09,0.999977
9.095,0.999977
9.1,0.999977
9.105,0.999976
9.11,0.999976
9.115,0.999976
9.12,0.999976
9.125,0.999976
9.13,0.999976
9.135,0.999976
9.14,0.999976
9.145,0.999976
9.15,0.999976
9.155,0.999976
9.16,0.999975
9.165,0.999975
9.17,0.999975
9.175,0.999975
9.18,0.999975
9.185,0.999975
9.19,0.999975
9.195,0.999975
9.2,0.999975
9.205,0.999975
9.21,0.999975
9.215,0.999975
9.22,0.999975
9.225,0.999975
9.23,0.999975
9.235,0.999975
9.24,0.999975
9.245,0.999975
9.25,0.999975
9.255,0.999975
9.26,0.999975
9.265,0.999975
9.27,0.999975
9.275,0.999975
9.28,0.999975
9.285,0.999975
9.29,0.999975
9.295,0.999975
9.3,0.999975
9.305,0.999975
9.31,0.999975
9.315,0.999975
9.32,0.999975
9.325,0.999975
9.33,0.999975
9.335,0.999975
9.34,0.999975
9.345,0.999975
9.35,0.999975
9.355,0.999975
9.36,0.999975
9.365,0.999975
9.37,0.999975
9.375,0.999975
9.38,0.999975
9.385,0.999975
9.39,0.999975
9.395,0.999975
9.4,0.999975
9.405,0.999975
9.41,0.999975
9.415,0.999976
9.42,0.999976
9.425,0.999976
9.43,0.999976
9.435,0.999976
9.44,0.999976
9.445,0.999976
9.45,0.999976
9.455,0.999976
9.46,0.999976
9.465,0.999976
9.47,0.999976
9.475,0.999976
9.48,0.999976
9.485,0.999977
9.49,0.999977
9.495,0.999977
9.5,0.999977
9.505,0.999977
9.51,0.999977
9.515,0.999977
9.52,0.999977
9.525,0.999977
9.53,0.999977
9.535,0.999977
9.54,0.999978
9.545,0.999978
9.55,0.999978
9.555,0.999978
9.56,0.999978
9.565,0.999978
9.57,0.999978
9.575,0.999978
9.58,0.999978
9.585,0.999978
9.59,0.999978
9.595,0.999979
9.6,0.999979
9.605,0.999979
9.61,0.999979
9.615,0.999979
9.62,0.999979
9.625,0.999979
9.63,0.999979
9.635,0.999979
9.64,0.99998
9.645,0.99998
9.65,0.99998
9.655,0.99998
9.66,0.99998
9.665,0.99998
9.67,0.99998
9.675,0.99998
9.68,0.999981
9.685,0.999981
9.69,0.999981
9.695,0.999981
9.7,0.999981
9.705,0.999981
9.71,0.999981
9.715,0.999981
9.72,0.999982
9.725,0.999982
9.73,0.999982
9.735,0.999982
9.74,0.999982
9.745,0.999982
9.75,0.999982
9.755,0.999982
9.76,0.999983
9.765,0.999983
9.77,0.999983
9.775,0.999983
9.78,0.999983
9.785,0.999983
9.79,0.999983
9.795,0.999983
9.8,0.999984
9.805,0.999984
9.81,0.999984
9.815,0.999984
9.82,0.999984
9.825,0.999984
9.83,0.999984
9.835,0.999985
9.84,0.999985
9.845,0.999985
9.85,0.999985
9.855,0.999985
9.86,0.999985
9.865,0.999985
9.87,0.999985
9.875,0.999986
9.88,0.999986
9.885,0.999986
9.89,0.999986
9.895,0.999986
9.9,0.999986
9.905,0.999986
9.91,0.999986
9.915,0.999987
9.92,0.999987
9.925,0.999987
9.93,0.999987
9.935,0.999987
9.94,0.999987
9.945,0.999987
9.95,0.999987
9.955,0.999987
9.96,0.999988
9.965,0.999988
9.97,0.999988
9.975,0.999988
9.98,0.999988
9.985,0.999988
9.99,0.999988
9.995,0.999988
10,0.999989
